# Lon        | Lat          | Moho Depth   | X   | Station    | Min Err      | Mean Err     | Variance     | Score 
-1.606884e+02  +6.069470e+01  +3.454198e+01  0047     TA-M15K-  +9.278035e-03  +4.587502e-01  +3.553930e+00  +2.100000e+00
-1.606514e+02  +6.550110e+01  +3.469466e+01  0045     TA-G17K-  +3.118733e-02  +1.169624e+00  +3.220234e+00  +2.100000e+00
-1.606027e+02  +6.742130e+01  +3.179389e+01  0040     TA-E18K-  +5.337143e-02  +4.614795e+00  +3.862540e+00  +2.100000e+00
-1.606021e+02  +6.328420e+01  +4.171756e+01  0048     TA-J16K-  +4.226811e+00  -7.036988e+00  +3.214157e+00  +1.100000e+00
-1.600921e+02  +6.016860e+01  +4.049618e+01  0046     TA-N15K-  +1.346611e+00  -4.413679e+00  +3.653126e+00  +2.100000e+00
-1.599126e+02  +6.493700e+01  +4.232824e+01  0049     TA-H17K-  +2.551391e-01  -6.164301e+00  +3.515981e+00  +2.100000e+00
-1.598246e+02  +5.917670e+01  +3.973282e+01  0033     TA-O15K-  +5.949865e-02  -3.545303e+00  +3.700149e+00  +2.100000e+00
-1.596514e+02  +6.660010e+01  +3.973282e+01  0008     TA-F18K-  +1.377447e+00  -4.877987e+00  +3.385354e+00  +2.100000e+00
-1.595895e+02  +5.483100e+01  +2.094042e+01  0018      AK-CHN-  +7.445466e-01  +1.312613e+01  +4.781994e+00  +1.100000e+00
-1.595874e+02  +6.910490e+01  +4.583969e+01  0017     TA-C19K-  +6.444757e-02  -4.078022e+00  +5.163567e+00  +1.100000e+00
-1.594747e+02  +6.171050e+01  +3.652672e+01  0053     TA-L16K-  +9.094691e-04  -1.277329e+00  +3.307920e+00  +2.100000e+00
-1.590777e+02  +6.339650e+01  +3.148855e+01  0022     TA-J17K-  +2.003901e+00  +5.097919e+00  +3.358107e+00  +1.100000e+00
-1.589593e+02  +6.102240e+01  +4.003817e+01  0043     TA-M16K-  +1.181786e+00  -4.945624e+00  +3.279238e+00  +2.100000e+00
-1.587690e+02  +6.047420e+01  +3.805344e+01  0047     TA-N16K-  +4.290958e-03  -1.296769e+00  +3.735797e+00  +2.100000e+00
-1.586540e+02  +6.589500e+01  +3.515267e+01  0041     TA-G18K-  +4.067602e-01  +2.139842e+00  +3.452733e+00  +2.100000e+00
-1.584142e+02  +5.630140e+01  +4.044977e+01  0066     AT-CHGN-  +3.966490e+00  -9.487442e+00  +2.944841e+00  +1.100000e+00
-1.583633e+02  +6.515270e+01  +4.339695e+01  0043     TA-H18K-  +2.602728e+00  -6.340301e+00  +3.502329e+00  +1.100000e+00
