gid,latitude,longitude,cgeoth_grad,heat_flow,cheat_flow
,59.4090000,-146.2600000,47,,60
,62.4310000,-146.2340000,30,,118
,62.5090000,-146.0710000,31,,59
,62.1060000,-145.8110000,34,,77
,62.3000000,-145.4920000,31,,69
,62.1900000,-145.4110000,32,,78
,60.2640000,-144.2100000,32,,79
,60.2100000,-144.1650000,42,,81
,60.1570000,-143.0390000,32,,105
,60.1360000,-143.0240000,29,,63
,60.1650000,-142.7780000,29,,58
,60.0800000,-142.4210000,27,,57
,60.0730000,-142.2100000,31,,53
,60.0730000,-142.147,36,,62
,65.6490000,-142.141,45,,71
,66.8050000,-141.717,39,,89
,59.8970000,-141.425,38,,77
,60.0370000,-141.152,15,,95
,59.7970000,-139.991,21,,38
,59.5260000,-139.674,30,,43
,59.5200000,-139.625,29,,60
,59.5140000,-139.587,33,,59
,59.5710000,-139.523,28,,66
,59.3710000,-139.373,28,,56
,59.4070000,-139.237,34,,56
,59.2570000,-138.939,17,,68
,60.7530000,-162.760,28,,17
,61.9520000,-147.142,32,,57
,62.1090000,-146.607,33,,63
,59.8050000,-146.105,41,,66
,,,,,
